date,ensemble_raw_ret,ensemble_capped_ret,exposure_scalar
2024-07-25,-0.007272786523862051,-0.006515395838819997,0.8958596292415499
2024-07-26,0.015722820339129515,0.01385960927776907,0.8814963841618507
2024-07-27,-0.003399471554509531,-0.0027998382413969344,0.8236098453840098
2024-07-28,-0.005221207281553563,-0.004363687277832886,0.8357621221531885
2024-07-29,-0.0004974665890855801,-0.00041275355668329275,0.8297111117391764
2024-07-30,-0.00036073694928771697,-0.0002998704328987254,0.8312717438311384
2024-07-31,-0.005522332758356538,-0.004592984178170559,0.8317108691467995
2024-08-01,-0.0072452934121502695,-0.005978268891069545,0.8251244706037798
2024-08-02,-0.01918557813601671,-0.015705799930713325,0.8186253142525393
2024-08-03,-0.007728460148131969,-0.00585765968223688,0.7579336077255602
2024-08-04,-0.011184846682535011,-0.008553519268376004,0.7647417538348747
2024-08-05,-0.007335388871201547,-0.005761097481239525,0.7853840583499767
2024-08-06,0.009393491839895952,0.007470590612667749,0.7952943101455335
2024-08-07,0.008153593291172002,0.006272857089833341,0.7693365202094447
2024-08-08,0.017627062342895346,0.013240828268179145,0.7511647721332256
2024-08-09,0.0017192213775085844,0.0012018579372662314,0.6990710754236362
2024-08-10,0.00040470657086451225,0.0002855787574751522,0.7056439851349938
2024-08-11,-0.01210647081593561,-0.009196861220358581,0.7596649230139685
2024-08-12,0.007520581635599929,0.006304150032032237,0.8382529885973832
2024-08-13,0.0012742940346455662,0.0010893125467925837,0.8548361031098812
2024-08-14,-0.0035591736764636096,-0.003057683696121437,0.8590993230652199
2024-08-15,-0.00018596499568254883,-0.00016129237693493978,0.8673265435946537
2024-08-16,-0.0003013020267690755,-0.0002884885419049405,0.9574729549564049
2024-08-17,0.003679236615828328,0.0035232230547277733,0.9575962142719027
2024-08-18,-0.002644349415461315,-0.0025201761149162166,0.9530420224274953
2024-08-19,0.004897027113632781,0.004665263719749768,0.9526726341298357
2024-08-20,0.007785567376353259,0.007318172099802633,0.9399664463799743
2024-08-21,-0.002741781377763701,-0.0025313558917769863,0.9232522739802305
2024-08-22,0.0008424053499824095,0.000789276720450995,0.9369322268281843
2024-08-23,0.008404775969304439,0.008404775969304439,1.0
2024-08-24,0.0012390762544953083,0.0012390762544953083,1.0
2024-08-25,-0.012875035397967902,-0.012875035397967902,1.0
2024-08-26,-0.026168035255927983,-0.026168035255927983,1.0
2024-08-27,-0.012112163912996387,-0.010522646913662248,0.8687668850296368
